169 ntdll!ZwShutdownWorkerFactory
16A ntdll!NtSignalAndWaitForSingleObject
16B ntdll!ZwSinglePhaseReject
16C ntdll!NtStartProfile
16D ntdll!NtStopProfile
16E ntdll!NtSuspendProcess
16F ntdll!ZwSuspendThread
170 ntdll!NtSystemDebugControl
171 ntdll!ZwTerminateJobObject
172 ntdll!ZwTerminateProcess
173 ntdll!NtTerminateThread
174 ntdll!ZwTestAlert
175 ntdll!NtThawRegistry
176 ntdll!NtThawTransactions
177 ntdll!ZwTraceControl
178 ntdll!ZwTraceEvent
179 ntdll!ZwTranslateFilePath
17A ntdll!NtUmsThreadYield
17B ntdll!ZwUnloadDriver
17C ntdll!NtUnloadKey
17D ntdll!ZwUnloadKey2
17E ntdll!NtUnloadKeyEx
17F ntdll!NtUnlockFile
180 ntdll!NtUnlockVirtualMemory
181 ntdll!NtUnmapViewOfSection
182 ntdll!NtVdmControl
183 ntdll!NtWaitForDebugEvent
184 ntdll!NtWaitForKeyedEvent
185 ntdll!NtWaitForMultipleObjects
186 ntdll!NtWaitForMultipleObjects32
187 ntdll!NtWaitForSingleObject
188 ntdll!ZwWaitForWorkViaWorkerFactory
189 ntdll!NtWaitHighEventPair
18A ntdll!NtWaitLowEventPair
18B ntdll!ZwWorkerFactoryWorkerReady
18C ntdll!NtWriteFile
18D ntdll!NtWriteFileGather
18E ntdll!ZwWriteRequestData
18F ntdll!ZwWriteVirtualMemory
190 ntdll!ZwYieldExecution
