0x103B GDI32!NtGdiSaveDC
0x103C USER32!NtUserGetForegroundWindow
0x103C USER32!NtUserGetForegroundWindow
0x103D USER32!NtUserShowScrollBar
0x103D USER32!NtUserShowScrollBar
0x103E USER32!NtUserFindExistingCursorIcon
0x103E USER32!NtUserFindExistingCursorIcon
0x103F GDI32!NtGdiGetDCDword
0x103F GDI32!NtGdiGetDCDword
0x1040 GDI32!NtGdiGetRegionData
0x1040 GDI32!NtGdiGetRegionData
0x1041 GDI32!NtGdiLineTo
0x1041 GDI32!NtGdiLineTo
0x1042 USER32!NtUserSystemParametersInfo
0x1042 USER32!NtUserSystemParametersInfo
0x1043 GDI32!NtGdiGetAppClipBox
0x1043 GDI32!NtGdiGetAppClipBox
0x1044 USER32!NtUserGetAsyncKeyState
0x1044 USER32!NtUserGetAsyncKeyState
0x1045 USER32!NtUserGetCPD
0x1045 USER32!NtUserGetCPD
0x1046 USER32!NtUserRemoveProp
0x1046 USER32!NtUserRemoveProp
0x1047 GDI32!NtGdiDoPalette
0x1047 GDI32!NtGdiDoPalette
0x1048 GDI32!NtGdiPolyPolyDraw
0x1048 GDI32!NtGdiPolyPolyDraw
0x1049 USER32!NtUserSetCapture
0x1049 USER32!NtUserSetCapture
0x104A USER32!NtUserEnumDisplayMonitors
0x104A USER32!NtUserEnumDisplayMonitors
0x104B GDI32!NtGdiCreateCompatibleBitmap
0x104B GDI32!NtGdiCreateCompatibleBitmap
0x104C USER32!NtUserSetProp
0x104C USER32!NtUserSetProp
0x104D GDI32!NtGdiGetTextCharsetInfo
0x104D GDI32!NtGdiGetTextCharsetInfo
0x104E USER32!NtUserSBGetParms
0x104E USER32!NtUserSBGetParms
0x104F USER32!NtUserGetIconInfo
0x104F USER32!NtUserGetIconInfo
0x1050 USER32!NtUserExcludeUpdateRgn
0x1050 USER32!NtUserExcludeUpdateRgn
0x1051 USER32!NtUserSetFocus
0x1051 USER32!NtUserSetFocus
0x1052 GDI32!NtGdiExtGetObjectW
0x1052 GDI32!NtGdiExtGetObjectW
0x1053 USER32!NtUserDeferWindowPos
0x1053 USER32!NtUserDeferWindowPos
0x1054 USER32!NtUserGetUpdateRect
0x1054 USER32!NtUserGetUpdateRect
0x1055 GDI32!NtGdiCreateCompatibleDC
0x1055 GDI32!NtGdiCreateCompatibleDC
0x1056 USER32!NtUserGetClipboardSequenceNumber
0x1056 USER32!NtUserGetClipboardSequenceNumber
0x1057 GDI32!NtGdiCreatePen
0x1057 GDI32!NtGdiCreatePen
0x1058 USER32!NtUserShowWindow
0x1058 USER32!NtUserShowWindow
0x1059 USER32!NtUserGetKeyboardLayoutList
0x1059 USER32!NtUserGetKeyboardLayoutList
0x105A GDI32!NtGdiPatBlt
0x105A GDI32!NtGdiPatBlt
0x105B USER32!NtUserMapVirtualKeyEx
0x105B USER32!NtUserMapVirtualKeyEx
0x105C USER32!NtUserSetWindowLong
0x105C USER32!NtUserSetWindowLong
0x105D GDI32!NtGdiHfontCreate
0x105D GDI32!NtGdiHfontCreate
0x105E USER32!NtUserMoveWindow
0x105E USER32!NtUserMoveWindow
0x105F USER32!NtUserPostThreadMessage
0x105F USER32!NtUserPostThreadMessage
0x1060 USER32!NtUserDrawIconEx
0x1060 USER32!NtUserDrawIconEx
0x1061 USER32!NtUserGetSystemMenu
0x1061 USER32!NtUserGetSystemMenu
0x1062 GDI32!NtGdiDrawStream
0x1062 GDI32!NtGdiDrawStream
0x1063 USER32!NtUserInternalGetWindowText
0x1063 USER32!NtUserInternalGetWindowText
0x1064 USER32!NtUserGetWindowDC
0x1064 USER32!NtUserGetWindowDC
0x1065 GDI32!NtGdiD3dDrawPrimitives2
0x1065 GDI32!NtGdiD3dDrawPrimitives2
0x1066 GDI32!NtGdiInvertRgn
0x1066 GDI32!NtGdiInvertRgn
0x1067 GDI32!NtGdiGetRgnBox
0x1067 GDI32!NtGdiGetRgnBox
0x1068 GDI32!NtGdiGetAndSetDCDword
0x1068 GDI32!NtGdiGetAndSetDCDword
0x1069 GDI32!NtGdiMaskBlt
0x1069 GDI32!NtGdiMaskBlt
0x106A GDI32!NtGdiGetWidthTable
0x106A GDI32!NtGdiGetWidthTable
0x106B USER32!NtUserScrollDC
0x106B USER32!NtUserScrollDC
0x106C USER32!NtUserGetObjectInformation
0x106C USER32!NtUserGetObjectInformation
